ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,time_gap,duration
108.3.0.0,15987,no,8,0,8,0,0,2024-06-18 12:42:59.378386,2024-06-18 12:50:41.036010,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:48:07.378386,0 days 00:07:41.657624
240.103.0.0,49376,yes,3,0,3,0,0,2024-06-18 12:46:27.036062,2024-06-18 12:46:33.196005,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:51:35.036062,0 days 00:00:06.159943
128.108.0.0,42061,yes,4,0,4,0,0,2024-06-18 12:47:48.601668,2024-06-18 12:47:55.836204,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:52:56.601668,0 days 00:00:07.234536
62.115.0.0,38429,yes,8,0,8,0,0,2024-06-18 12:48:29.925301,2024-06-18 12:52:03.676032,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:53:37.925301,0 days 00:03:33.750731
62.115.0.0,23789,yes,4,0,4,0,0,2024-06-18 12:51:15.206352,2024-06-18 12:51:22.396296,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:56:23.206352,0 days 00:00:07.189944
128.108.0.0,54123,yes,4,0,4,0,0,2024-06-18 12:52:37.833183,2024-06-18 12:52:45.036210,2024-06-18 09:54:52,2024-06-18 12:52:49,0 days 02:57:45.833183,0 days 00:00:07.203027
211.107.0.0,49376,no,4,0,4,0,0,2024-06-18 15:33:09.571815,2024-06-18 15:33:17.443450,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:01:30.571815,0 days 00:00:07.871635
62.115.0.0,32876,yes,3,0,3,0,0,2024-06-18 15:36:42.644638,2024-06-18 15:36:49.439904,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:05:03.644638,0 days 00:00:06.795266
28.25.0.0,23789,yes,4,0,4,0,0,2024-06-18 15:37:24.424599,2024-06-18 15:37:31.600114,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:05:45.424599,0 days 00:00:07.175515
192.224.0.0,23789,yes,4,0,4,0,0,2024-06-18 15:38:06.473206,2024-06-18 15:38:14.363578,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:06:27.473206,0 days 00:00:07.890372
108.3.0.0,38429,yes,4,0,4,0,0,2024-06-18 15:38:48.554924,2024-06-18 15:38:56.400144,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:07:09.554924,0 days 00:00:07.845220
62.115.0.0,15987,yes,4,0,4,0,0,2024-06-18 15:39:31.377715,2024-06-18 15:39:38.561433,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:07:52.377715,0 days 00:00:07.183718
108.3.0.0,23789,yes,4,0,4,0,0,2024-06-18 15:40:13.479988,2024-06-18 15:40:21.363623,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:08:34.479988,0 days 00:00:07.883635
211.107.0.0,46852,yes,4,0,4,0,0,2024-06-18 15:40:55.599884,2024-06-18 15:41:03.520768,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:09:16.599884,0 days 00:00:07.920884
164.77.0.0,23789,no,4,0,4,0,0,2024-06-18 15:41:38.371215,2024-06-18 15:41:45.600026,2024-06-18 15:31:39,2024-06-18 15:41:59,0 days 00:09:59.371215,0 days 00:00:07.228811
192.224.0.0,32876,no,14,0,12,0,2,2024-06-18 15:47:01.557402,2024-06-18 17:53:23.506384,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:01:30.557402,0 days 02:06:21.948982
128.108.0.0,15987,yes,8,0,8,0,0,2024-06-18 15:52:40.503318,2024-06-18 15:56:19.474084,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:07:09.503318,0 days 00:03:38.970766
108.3.0.0,46852,yes,4,0,4,0,0,2024-06-18 15:56:54.501971,2024-06-18 15:57:01.714047,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:11:23.501971,0 days 00:00:07.212076
164.77.0.0,32876,yes,4,0,4,0,0,2024-06-18 15:58:18.652086,2024-06-18 15:58:26.514463,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:12:47.652086,0 days 00:00:07.862377
192.224.0.0,61543,yes,8,0,8,0,0,2024-06-18 16:02:32.611454,2024-06-18 17:12:13.634073,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:17:01.611454,0 days 01:09:41.022619
108.3.0.0,15987,no,12,0,12,0,0,2024-06-18 16:08:43.581500,2024-06-18 16:27:12.443439,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:23:12.581500,0 days 00:18:28.861939
150.29.0.0,49376,no,8,0,8,0,0,2024-06-18 16:15:46.659630,2024-06-18 16:16:36.674333,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:30:15.659630,0 days 00:00:50.014703
164.77.0.0,49376,no,12,0,12,0,0,2024-06-18 16:18:36.450447,2024-06-18 17:06:00.443337,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:33:05.450447,0 days 00:47:23.992890
150.29.0.0,61543,yes,4,0,4,0,0,2024-06-18 16:19:18.583357,2024-06-18 16:19:26.443539,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:33:47.583357,0 days 00:00:07.860182
108.3.0.0,54123,no,4,0,4,0,0,2024-06-18 16:21:25.649554,2024-06-18 16:21:33.475514,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:35:54.649554,0 days 00:00:07.825960
211.107.0.0,54123,yes,4,0,4,0,0,2024-06-18 16:23:32.659465,2024-06-18 16:23:40.514261,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:38:01.659465,0 days 00:00:07.854796
108.3.0.0,38429,yes,8,0,8,0,0,2024-06-18 16:26:22.453169,2024-06-18 18:04:18.514347,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:40:51.453169,0 days 01:37:56.061178
150.29.0.0,23789,yes,4,0,4,0,0,2024-06-18 16:27:46.691760,2024-06-18 16:27:54.513989,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:42:15.691760,0 days 00:00:07.822229
150.29.0.0,46852,yes,8,0,8,0,0,2024-06-18 16:28:29.503705,2024-06-18 17:31:09.474124,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:42:58.503705,0 days 01:02:39.970419
128.108.0.0,7193,yes,4,0,4,0,0,2024-06-18 16:33:25.633042,2024-06-18 16:33:33.473976,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:47:54.633042,0 days 00:00:07.840934
108.3.0.0,49376,yes,8,0,8,0,0,2024-06-18 16:34:07.688718,2024-06-18 18:06:25.634806,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:48:36.688718,0 days 01:32:17.946088
183.4.0.0,46852,yes,4,0,4,0,0,2024-06-18 16:44:43.507222,2024-06-18 16:44:50.674161,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 00:59:12.507222,0 days 00:00:07.166939
183.4.0.0,27651,yes,12,0,12,0,0,2024-06-18 16:47:32.666643,2024-06-18 17:48:01.443215,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:02:01.666643,0 days 01:00:28.776572
240.103.0.0,49376,yes,8,0,8,0,0,2024-06-18 16:53:53.570740,2024-06-18 17:09:24.674451,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:08:22.570740,0 days 00:15:31.103711
128.108.0.0,23789,yes,4,0,4,0,0,2024-06-18 16:55:18.459468,2024-06-18 16:55:25.634224,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:09:47.459468,0 days 00:00:07.174756
62.115.0.0,49376,no,12,0,12,0,0,2024-06-18 17:09:59.510567,2024-06-18 17:35:24.443921,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:24:28.510567,0 days 00:25:24.933354
164.77.0.0,23789,no,8,0,8,0,0,2024-06-18 17:14:13.688826,2024-06-18 17:36:06.674200,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:28:42.688826,0 days 00:21:52.985374
62.115.0.0,15987,yes,4,0,4,0,0,2024-06-18 17:16:21.525848,2024-06-18 17:16:29.443742,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:30:50.525848,0 days 00:00:07.917894
28.25.0.0,27651,yes,8,0,8,0,0,2024-06-18 17:23:26.582456,2024-06-18 17:29:02.514718,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:37:55.582456,0 days 00:05:35.932262
28.25.0.0,42061,yes,4,0,4,0,0,2024-06-18 17:28:12.458622,2024-06-18 17:28:19.634040,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 01:42:41.458622,0 days 00:00:07.175418
128.108.0.0,38429,yes,4,0,4,0,0,2024-06-18 17:47:10.551171,2024-06-18 17:47:17.714097,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 02:01:39.551171,0 days 00:00:07.162926
183.4.0.0,23789,yes,4,0,4,0,0,2024-06-18 17:53:33.556750,2024-06-18 17:53:41.443556,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 02:08:02.556750,0 days 00:00:07.886806
183.4.0.0,32876,yes,4,0,4,0,0,2024-06-18 17:54:15.686684,2024-06-18 17:54:23.554914,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 02:08:44.686684,0 days 00:00:07.868230
211.107.0.0,49376,no,4,0,4,0,0,2024-06-18 17:57:48.578289,2024-06-18 17:57:56.443585,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 02:12:17.578289,0 days 00:00:07.865296
92.237.0.0,32876,yes,4,0,4,0,0,2024-06-18 17:59:13.510943,2024-06-18 17:59:20.674183,2024-06-18 15:45:31,2024-06-18 18:13:45,0 days 02:13:42.510943,0 days 00:00:07.163240
