ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,end_time,measure_start,measure_end,bot_id,duration,attemp_start,is_cnc,Unnamed: 0
154.64.245.126,35515,yes,2,0,2,0,0,2024-06-22 17:45:38.787372,2024-06-22 17:45:47.845822,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,9.05845,0 days 02:46:44.787372,False,
154.64.245.126,39755,yes,2,0,2,0,0,2024-06-22 17:45:39.734533,2024-06-22 17:45:42.851605,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.117072,0 days 02:46:45.734533,False,
154.64.245.126,50922,yes,2,0,2,0,0,2024-06-22 17:45:39.767462,2024-06-22 17:45:46.784923,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,7.017461,0 days 02:46:45.767462,False,
154.64.245.126,52332,yes,2,0,2,0,0,2024-06-22 17:45:39.789996,2024-06-22 17:45:49.686683,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,9.896687,0 days 02:46:45.789996,False,
154.64.245.126,10589,yes,2,0,2,0,0,2024-06-22 17:45:42.765339,2024-06-22 17:45:49.754063,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,6.988724,0 days 02:46:48.765339,False,
154.64.245.126,11640,yes,2,0,2,0,0,2024-06-22 17:45:50.817994,2024-06-22 17:45:54.691688,2024-06-22 14:58:54,2024-06-22 17:49:44,114187eb,3.873694,0 days 02:46:56.817994,False,
152.89.244.142,33335,no,2101,3814,117,0,11,2024-06-22 18:42:31.667810,2024-06-22 21:40:52.653252,2024-06-22 18:42:12,2024-06-22 21:40:53,114187eb,10700.985442,0 days 00:00:19.667810,True,
27.25.151.54,80,yes,4,2720,4,0,0,2024-06-22 19:22:36.659173,2024-06-22 19:22:36.671530,2024-06-22 18:42:12,2024-06-22 21:40:53,114187eb,0.012357,0 days 00:40:24.659173,False,
101.126.25.17,80,yes,3,2040,3,0,0,2024-06-22 19:33:16.700100,2024-06-22 19:33:16.709671,2024-06-22 18:42:12,2024-06-22 21:40:53,114187eb,0.009571,0 days 00:51:04.700100,False,
180.188.40.138,80,yes,4,2720,4,0,0,2024-06-22 20:08:24.692149,2024-06-22 20:08:24.704350,2024-06-22 18:42:12,2024-06-22 21:40:53,114187eb,0.012201,0 days 01:26:12.692149,False,
152.89.244.142,33335,no,4545,5379,103,0,0,2024-06-23 09:17:18.583260,2024-06-23 16:58:18.201446,2024-06-23 09:17:10,2024-06-23 16:58:45,114187eb,27659.618186,0 days 00:00:08.583260,True,
212.102.40.182,22,yes,4,2720,4,0,0,2024-06-23 14:01:49.414922,2024-06-23 14:01:49.428826,2024-06-23 09:17:10,2024-06-23 16:58:45,114187eb,0.013904,0 days 04:44:39.414922,False,
152.89.244.142,33335,no,3228,3660,102,0,0,2024-06-24 10:01:46.453179,2024-06-24 15:18:58.315667,2024-06-24 10:01:33,2024-06-24 15:19:22,114187eb,19031.862488,0 days 00:00:13.453179,True,
152.89.244.142,33335,no,3976,5835,117,0,1,2024-06-24 15:20:49.332492,2024-06-24 21:40:14.317931,2024-06-24 15:20:30,2024-06-24 21:41:13,114187eb,22764.985439,0 days 00:00:19.332492,True,
216.118.233.162,3306,yes,2,1360,2,0,0,2024-06-24 17:26:46.368079,2024-06-24 17:26:46.372973,2024-06-24 15:20:30,2024-06-24 21:41:13,114187eb,0.004894,0 days 02:06:16.368079,False,
212.102.40.182,22,yes,4,2720,4,0,0,2024-06-24 17:33:57.357058,2024-06-24 17:33:57.372751,2024-06-24 15:20:30,2024-06-24 21:41:13,114187eb,0.015693,0 days 02:13:27.357058,False,
103.105.23.65,3306,yes,4,2720,4,0,0,2024-06-24 19:51:05.367035,2024-06-24 19:51:05.383333,2024-06-24 15:20:30,2024-06-24 21:41:13,114187eb,0.016298,0 days 04:30:35.367035,False,
110.173.63.10,3306,yes,3,2040,3,0,0,2024-06-24 19:53:51.334262,2024-06-24 19:53:51.344411,2024-06-24 15:20:30,2024-06-24 21:41:13,114187eb,0.010149,0 days 04:33:21.334262,False,
172.65.41.112,3306,yes,4,2720,4,0,0,2024-06-24 21:02:40.505729,2024-06-24 21:02:41.316606,2024-06-24 15:20:30,2024-06-24 21:41:13,114187eb,0.810877,0 days 05:42:10.505729,False,
152.89.244.142,33335,no,2537,3071,103,0,0,2024-06-25 09:48:00.658494,2024-06-25 13:53:19.494560,2024-06-25 09:47:50,2024-06-25 13:53:20,114187eb,14718.836066,0 days 00:00:10.658494,True,
152.89.244.142,33335,no,3965,5237,99,0,0,2024-06-26 09:45:56.355632,2024-06-26 16:11:32.262197,2024-06-26 09:45:31,2024-06-26 16:12:18,114187eb,23135.906565,0 days 00:00:25.355632,True,
152.89.244.142,33335,no,3574,7543,105,0,5,2024-06-26 17:42:41.477925,2024-06-26 22:58:38.282508,2024-06-26 17:42:18,2024-06-26 22:59:19,114187eb,18956.804583,0 days 00:00:23.477925,True,
152.89.244.142,33335,no,3657,5706,99,0,0,2024-06-27 10:02:36.253073,2024-06-27 16:01:36.685978,2024-06-27 10:02:09,2024-06-27 16:02:24,114187eb,21540.432905,0 days 00:00:27.253073,True,
152.89.244.142,33335,no,2797,4666,156,0,37,2024-06-27 17:57:40.494472,2024-06-27 21:59:40.339268,2024-06-27 17:57:31,2024-06-27 21:59:42,114187eb,14519.844796,0 days 00:00:09.494472,True,
152.89.244.142,33335,no,4191,7380,118,0,9,2024-06-28 09:35:43.362334,2024-06-28 15:47:22.349589,2024-06-28 09:35:23,2024-06-28 15:47:21,114187eb,22298.987255,0 days 00:00:20.362334,True,
152.89.244.134,22,yes,2,1360,2,0,0,2024-06-28 13:04:53.541857,2024-06-28 13:04:53.544863,2024-06-28 09:35:23,2024-06-28 15:47:21,114187eb,0.003006,0 days 03:29:30.541857,False,
152.89.244.142,33335,no,2459,4316,99,0,0,2024-06-28 16:10:23.411126,2024-06-28 19:57:42.274379,2024-06-28 16:10:01,2024-06-28 19:57:59,114187eb,13638.863253,0 days 00:00:22.411126,True,
118.107.5.199,443,yes,4,2720,4,0,0,2024-06-28 17:20:33.305144,2024-06-28 17:20:33.320620,2024-06-28 16:10:01,2024-06-28 19:57:59,114187eb,0.015476,0 days 01:10:32.305144,False,
188.166.250.35,38429,no,4,0,4,0,0,2024-06-17 12:23:58.842494,2024-06-17 12:24:06.562381,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,7.719887,0 days 00:00:42.842494,False,
240.103.0.0,46852,no,8,0,8,0,0,2024-06-17 12:25:23.594361,2024-06-17 12:36:04.561106,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,640.966745,0 days 00:02:07.594361,False,
183.4.0.0,38429,yes,8,0,8,0,0,2024-06-17 12:28:54.641453,2024-06-17 15:27:29.601161,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,10714.959708,0 days 00:05:38.641453,False,
92.237.0.0,61543,yes,4,0,4,0,0,2024-06-17 12:31:01.671972,2024-06-17 12:31:09.538992,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,7.86702,0 days 00:07:45.671972,False,
108.3.0.0,15987,no,4,0,4,0,0,2024-06-17 12:33:08.544200,2024-06-17 12:33:15.760947,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,7.216747,0 days 00:09:52.544200,False,
164.77.0.0,7193,yes,4,0,4,0,0,2024-06-17 12:39:32.507435,2024-06-17 12:39:39.700910,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,7.193475,0 days 00:16:16.507435,False,
164.77.0.0,23789,no,16,0,16,0,0,2024-06-17 12:47:58.688141,2024-06-17 15:06:19.601038,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,8300.912897,0 days 00:24:42.688141,False,
150.29.0.0,49376,no,20,0,20,0,0,2024-06-17 12:55:00.817061,2024-06-17 14:19:44.720832,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,5083.903771,0 days 00:31:44.817061,True,
211.107.0.0,49376,no,24,0,24,0,0,2024-06-17 12:55:43.544008,2024-06-17 15:30:18.640823,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,9275.096815,0 days 00:32:27.544008,False,
62.115.0.0,49376,no,8,0,8,0,0,2024-06-17 12:57:07.686166,2024-06-17 15:36:39.538260,2024-06-17 12:23:16,2024-06-17 15:53:27,e2961432,9571.852094,0 days 00:33:51.686166,False,
