ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,duration
154.64.245.126,2633,yes,1,0,1,0,0,2024-06-22 17:44:58.837106,0:00:00
154.64.245.126,33123,yes,1,0,1,0,0,2024-06-22 17:44:58.841881,0:00:00
154.64.245.126,48080,yes,1,0,1,0,0,2024-06-22 17:44:58.845713,0:00:00
154.64.245.126,25530,yes,1,0,1,0,0,2024-06-22 17:44:58.849716,0:00:00
154.64.245.126,16029,yes,1,0,1,0,0,2024-06-22 17:44:58.853441,0:00:00
154.64.245.126,34540,yes,1,0,1,0,0,2024-06-22 17:44:58.857160,0:00:00
154.64.245.126,61770,yes,1,0,1,0,0,2024-06-22 17:44:58.861666,0:00:00
154.64.245.126,62149,yes,1,0,1,0,0,2024-06-22 17:44:59.665262,0:00:00
154.64.245.126,45276,yes,1,0,1,0,0,2024-06-22 17:44:59.668620,0:00:00
154.64.245.126,40908,yes,1,0,1,0,0,2024-06-22 17:44:59.670805,0:00:00
154.64.245.126,32046,yes,1,0,1,0,0,2024-06-22 17:44:59.673357,0:00:00
154.64.245.126,22862,yes,1,0,1,0,0,2024-06-22 17:44:59.675673,0:00:00
154.64.245.126,58898,yes,1,0,1,0,0,2024-06-22 17:44:59.679158,0:00:00
154.64.245.126,42700,yes,1,0,1,0,0,2024-06-22 17:44:59.681912,0:00:00
154.64.245.126,61689,yes,1,0,1,0,0,2024-06-22 17:44:59.684789,0:00:00
154.64.245.126,11152,yes,1,0,1,0,0,2024-06-22 17:44:59.687868,0:00:00
154.64.245.126,61868,yes,1,0,1,0,0,2024-06-22 17:44:59.690450,0:00:00
154.64.245.126,5914,yes,1,0,1,0,0,2024-06-22 17:44:59.692790,0:00:00
154.64.245.126,25880,yes,1,0,1,0,0,2024-06-22 17:44:59.695040,0:00:00
154.64.245.126,34504,yes,1,0,1,0,0,2024-06-22 17:44:59.697120,0:00:00
154.64.245.126,59934,yes,1,0,1,0,0,2024-06-22 17:44:59.699300,0:00:00
154.64.245.126,12569,yes,1,0,1,0,0,2024-06-22 17:44:59.701425,0:00:00
154.64.245.126,24574,yes,1,0,1,0,0,2024-06-22 17:44:59.703813,0:00:00
154.64.245.126,10612,yes,1,0,1,0,0,2024-06-22 17:44:59.706839,0:00:00
154.64.245.126,30855,yes,1,0,1,0,0,2024-06-22 17:44:59.709395,0:00:00
154.64.245.126,3940,yes,1,0,1,0,0,2024-06-22 17:44:59.711688,0:00:00
154.64.245.126,56559,yes,1,0,1,0,0,2024-06-22 17:44:59.713989,0:00:00
154.64.245.126,20904,yes,1,0,1,0,0,2024-06-22 17:44:59.716103,0:00:00
154.64.245.126,54044,yes,1,0,1,0,0,2024-06-22 17:44:59.719588,0:00:00
154.64.245.126,17084,yes,1,0,1,0,0,2024-06-22 17:44:59.722066,0:00:00
